Locality,Postal code,Type,Build,Price,Number_rooms,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Ter_Area,Garden,Area_garden,Livable_surface_area,Surface_area_land,Numb_facades,Swimming_pool,State
Trazegnies,6183,Maison,1,79900€,4,1,0,0,0,,1,240,130,320,2,0,À rénover
Liege,4000,Terrasses NAGELMACKERS,0,De 86400€ À 360000€,,0,0,0,0,,0,,,,,0,
Saint-Hubert,6870,Immeuble mixte,1,89000€,3,1,0,0,0,,0,,180,96,2,0,À rénover
Renaix,9600,Maison,1,89500€,2,1,0,0,1,15,0,,115,60,2,0,À rénover
Liège,4020,Penthouse,1,92000€,1,1,0,0,1,12,0,,29,,2,0,À rafraîchir
Huy,4500,Duplex,1,99000€,2,0,0,0,0,,0,,100,,2,0,À rafraîchir
Ciney,5590,AUGUSTINE,0,De 100298€ À 242826€,,0,0,0,0,,0,,,,,0,
Sambreville,5060,RESIDENCE SAMARA,0,De 104000€ À 245000€,,0,0,0,0,,0,,,,,0,
Renaix,9600,Maison,1,105000€,2,1,0,0,0,,0,,125,70,2,0,Bon
Saint-Nicolas,4420,Maison,1,109000€,1,1,0,0,0,,1,121,50,180,2,0,Bon
Xhoris,4190,Maison,1,Mise à prix : 110000€,3,0,0,0,0,,0,,105,486,3,0,Bon
Libramont-Chevigny,6800,LE DOMAINE DU VICINAL,0,De 110000€ À 219000€,,0,0,0,0,,0,,,,,0,
Arlon,6700,"Réisdence ""L'AUBERGE"" - Callemeyn",0,De 113229€ À 200362€,,0,0,0,0,,0,,,,,0,
Liège,4000,Appartement,1,120000€,1,1,0,0,0,,0,,56,,,0,Excellent état
Liège,4000,Appartement,1,120000€,1,1,0,0,0,,0,,56,,,0,Excellent état
Braine-le-Comte,7090,Agora Braine - 1,0,De 120000€ À 281000€,,0,0,0,0,,0,,,,,0,
Molenbeek-Saint-Jean,1080,CELIDEE,0,De 125000€ À 360000€,,0,0,0,0,,0,,,,,0,
Halle,1500,Nederhem Halle - Fase 3B,0,De 126250€ À 369000€,,0,0,0,0,,0,,,,,0,
Mons,7000,Jardins de la Faiencerie,0,De 127500€ À 230000€,,0,0,0,0,,0,,,,,0,
Liège,4030,Immeuble mixte,1,129000€,3,1,0,0,0,,0,,156,71,2,0,À rafraîchir
Paliseul,6850,Résidence MIRLISSON,0,De 129000€ À 185000€,,0,0,0,0,,0,,,,,0,
Renaix,9600,Maison,1,129000€,4,1,0,0,1,12,1,40,178,130,2,0,À rénover
Renaix,9600,Maison,1,129500€,2,0,0,0,0,,0,,80,40,2,0,Fraîchement rénové
Charleroi,6000,Quartier du Triangle,0,De 129750€ À 202750€,,0,0,0,0,,0,,,,,0,
Ostende,8400,Studio,1,130000€,,0,0,0,1,11,0,,45,,1,0,À rénover
La,8660,Studio,1,132500€,,0,0,0,0,,0,,35,,2,0,Bon
Laeken,1020,Appartement,1,135000€,1,1,0,0,1,9,0,,60,,,0,Bon
Neder-over-Heembeek,1120,Faines,0,De 135000€ À 221000€,,0,0,0,0,,0,,,,,0,
Marche-en-Famenne,6900,Central Park - Bloc C,0,De 135000€ À 330000€,,0,0,0,0,,0,,,,,0,
Sint-Joris-Winge,3390,Projet neuf - Appartements,0,De 135923€ À 295000€,,0,0,0,0,,0,,,,,0,
Halle,1500,Nederhem - Siena,0,De 137000€ À 371500€,,0,0,0,0,,0,,,,,0,
Ans,4430,Appartement,1,137000€,2,0,0,0,0,,0,,90,,,0,À rafraîchir
